共有 旅館 298 家?? 查詢日期：103年9月10日,,,,,,,,,,,,,,,,,,,
專用標,名稱,英文名稱,日文名稱,電話,傳真,營業地址,英文營業地址,日文營業地址,現狀,網址,E-mail,負責人/經營者,經營類型/特色,房間數,參考房價,交通資訊及觀光景點,核准設立日期,最近裝修日期,照片(上傳日期)
38,名帥大飯店,Marshal Hotel ,名帥大飯店?????　???,04 - 22267589 ,04 - 22262709 ,臺中市中區市府路146號6-8樓,"6-8F., No.146, Shifu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?市府路146?6~8F ,合法 營業,,,林婕汝,"一般旅館, ,",48 間,2200 ~ 3600,,2004/2/15,,
297,台中富信大飯店,FUSHIN hotel ,富信???,04 - 22296999 ,04 - 22295000 ,臺中市中區市府路14號,"No.14, Shifu Rd., Central dist., Taichung City 400, Taiwan(R.O.C.)",台中市中?市府路14? ,合法 營業,http://www.fushin-hotel.com.tw,fushin@fushin-hotel.com.tw,劉喜文,"商務旅館,,",88 間,2180 ~ 5300,,2012/7/31,2012/4/10,
58,花洲大旅社,花洲大旅社 ,花洲大旅社,04 - 22226116 ,? ,臺中市中區平等街132號2樓,"2F., No.132, Pingdeng St., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?平等街132?2F ,合法 營業,,,陳月美,"一般旅館, ,",10 間,500 ~ 500,,2004/2/15,,
81,紅點文旅,Reddot Hotel ,?????? ???,04 - 22291191 ,04 - 22291197 ,臺中市中區民族路206號,"No.206, Minzu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?民族路206? ,合法 營業,,ely53215@gmail.com,吳宗穎,"商務旅館, ,",55 間,1440 ~ 3860,,2004/3/15,,
298,成旅晶贊飯店,Park City Hotel．Central Taichung ,??????????．台中民?,04 - 22235678 ,04 - 22230505 ,臺中市中區民權路66號、繼光街25號1至9樓,"No.66, Minquan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台? 台中市中?民?路66? ,合法 營業,http://www.parkcthotel.com,TC71-RV@parkcthotel.com,黃炳彰,"一般旅館,休閒度假旅館,商務旅館,,",109 間,2520 ~ 10000,坐落於臺中新舊市區交融的民權商圈，鄰近金融、文教、臺中車站、臺中州廳、臺中公園及臺中創意文化園區，係未來臺中火車站高架化後的都市新市區，週遭商圈生活機能完善，無論洽公或旅遊，更能貼近城市脈動,2012/7/13,,5張(2014/09/05)
35,塔木德．光復館,Talmud Business Hotel-Guangfu ,塔木德．光復館,04 - 22211666 ,04 - 22211006 ,臺中市中區光復路101號,"No.101, Guangfu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?光復路101? ,合法 營業,http://www.talmud.com.tw/,order.talmud@kimo.com,林文賢,"一般旅館, ,",34 間,1560 ~ 3780,交通資訊:位於台中火車站10分鐘路程 毗鄰台中公園、光復玉市，鄰近台中火車站、宮原眼科、一中商圈、繼光街商圈、中華路夜市、及台中電子街等繁華景點。,2004/2/15,,5張(2014/09/05)
159,豪宮大飯店,PALACE HOTEL ,豪宮大飯店,04 - 22242190 ,? ,臺中市中區光復路115號,"No.115, Guangfu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?光復路115? ,合法 營業,,,丁雲,"一般旅館, ,",16 間,700 ~ 1600,,2004/8/20,,
20,銀河別?,GALAXY HOTEL ,銀河別館,04 - 22260467 ,? ,臺中市中區光復路151號11樓之3,"11F.-3, No.151, Guangfu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?光復路151?11F?3 ,合法 營業,,,黃振彬,"商務旅館, ,",7 間,800 ~ 1680,,2004/1/15,,
319,慕戀商旅,Moon Lake Hotel ,慕?商旅,04 - 37048866 ,04 - 22238557 ,臺中市中區光復路42之3號,"No.42-3, Guangfu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?光復路42之3? ,合法 營業,,ml.taichung@gmail.com,邱億隆,"一般旅館,商務旅館,,",70 間,1300 ~ 6000,面繼光商圈，鄰第一廣場、宮原眼科、20號倉庫、中友百貨等景點，步行10分鐘即達台中火車站，車程15分鐘即達台中高鐵站，交通便利,2014/3/18,2014/1/28,
86,新家旅店,NEW HOUSE HOTEL ,新家旅店,04 - 22262125 ,04 - 22252006 ,臺中市中區光復路45號,"No.45, Guangfu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?光復路45? ,合法 營業,,,顧燕楸,"一般旅館, ,",28 間,700 ~ 1200,,2004/3/15,,
71,西苑旅店,Garden Hotel ,西苑旅店,04 - 22222568 ,04 - 22222607 ,臺中市中區成功路114號1至6樓,"No.114, Chenggong Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?成功路114?1-6F ,合法 營業,,,林文慶,"一般旅館, ,",33 間,700 ~ 1000,,2004/3/15,,
125,意文大飯店,E MOON HOTEL ,意文大飯店?　??　???,04 - 22238031~33 ,? ,臺中市中區成功路160號,"No.160, Chenggong Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?成功路160? ,合法 營業,,,陳政清,"一般旅館, ,",49 間,1500 ~ 2500,,2004/4/26,,
134,金奇易果快捷旅店（成功店）,Kiwi Express Hotel-Chenggond branch ,????????????成功,04 - 35090681 ,04 - 35090685 ,臺中市中區成功路165號,"No.165, Chenggong Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?成功路165? ,合法 營業,http://www.rs-kiwihotel.com/,service23@rate-inn.com,徐照雄,"一般旅館, ,",39 間,2080 ~ 5800,【開車族】 國道三號：南下北上均從龍井交流道( 183km )下交流道，往台中市經中港路往台中火車站方向行駛，沿中港路直走接中正路至平等街左轉再右轉成功路即到達 國道一號：南下北上均從台中交流道( 178.6km )下交流道，經中港路往台中火車站方向行駛，沿中港路直走接中正路至平等街左轉再右轉成功路即到達 【非開車族】 台鐵停靠站：台中車站，再步行至本館 (台鐵查詢http://www.railway.gov.tw/tw/) 客運停靠站：國光客運、統聯客運，再步行至本館 (客運查詢) 國光客運http://www.kingbus.com.tw/time&price.php 統聯客運http://www.ubus.com.tw/html/line/search_list.php 市區公車動態暨路網轉乘系統，至成功平等街口站／光復國小站／台中公園站，再步行至本館 (台中市公車系統網址http://citybus.taichung.gov.tw/new.aspx) 高鐵停靠站: 台中烏日站，轉乘台鐵至台中火車站，再步行至本館 (高鐵查詢http://www.thsrc.com.tw/tc/ticket/tic_time_search.asp) 【火車站到旅店交通資訊】 客運:搭乘巨業交通168或169號至成功平等街口站，再步行至本館 計程車:搭乘計程車沿站前中正路至平等街左轉再右轉成功路即到達本館 至本旅店住宿免費享有停車場和預約接駁服務(採時段預約制).請於入住日.前2天來電預約04-35090681接駁次數為住房及退房為主.接駁地點僅限於台鐵.高鐵.國光客運.統聯客運,2004/4/26,,2張(2014/09/09)
129,花國大旅社,Hua Kuo ,花?大旅社,04 - 22204135 ,? ,臺中市中區成功路26號6-7樓,"No.26, Chenggong Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?成功路26?6~7F ,合法 營業,,,黃明德,"一般旅館, ,",26 間,580 ~ 1000,,2004/4/26,,
56,雙美堂大飯店,SHUANG MEI HOTEL ,雙美堂大飯店,04 - 22225025 ,04 - 22267325 ,臺中市中區自由路2段52之1號4-7樓,"4-7F., No.52-1, Sec. 2, Ziyou Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",雙美堂大飯店 ,合法 營業,,,林思青,"一般旅館, ,",27 間,680 ~ 1000,,2004/2/15,,
115,臺中公園智選假日飯店(3星),Holiday Inn Express Taichung Park ,臺中公園智選假日飯店,04 - 35059898 ,04 - 35050598 ,"臺中市中區自由路2段94號1,3,4,5,12,13樓","No.94, Sec. 2, Ziyou Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)","台中市中?自由路94?1,3,4,5,12,13F ",合法 營業,http://www.taichung.hiexpress.com/,service@hiexpresstc.com,楊國鼎,"一般旅館,商務旅館, ,",168 間,5000 ~ 6000,,2008/9/19,,1張(2014/09/05)
93,建成旅社,Jiang Cheng Hotel ,建成旅社,04 - 22222497 ,? ,臺中市中區建國路125巷10號,"No.10, Ln. 125, Jianguo Rd., Central Dist., Taichung City",台中市中?建?路125巷10? ,合法 營業,,,林進義,"一般旅館, ,",10 間,300 ~ 500,,2004/3/25,,
122,美豐旅社,美豐旅社 ,美豐旅社,04 - 22283111 ,? ,臺中市中區建國路159巷12號,美豐旅社,台中市中?建?路159巷12? ,合法 營業,,,林朝鐸,"一般旅館, ,",18 間,300 ~ 500,,2004/4/26,,
145,長春旅社,Chang Chun Hotel ,長春旅社,04 - 22255700 ,? ,臺中市中區建國路159巷13號1樓,"1F., No.13, Ln. 159, Jianguo Rd., Central Dist., Taichung City",台中市中?建?路159巷13? ,合法 營業,,,陳朱秀琴,"一般旅館, ,",2 間,200 ~ 200,,2004/4/26,,
124,南北旅社,南北旅社 ,南北旅社,04 - 22224552 ,? ,臺中市中區建國路159巷15號,南北旅社,台中市中?建?路159巷15? ,合法 營業,,,林棠華,"一般旅館, ,",15 間,300 ~ 300,,2004/4/26,,
158,巧合大飯店,CHANCE HOTEL ,巧合大飯店????　???,04 - 22297161 ,04 - 22251845 ,"臺中市中區建國路161,163號","No.161,163, Jianguo Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)","台中市中?建?路161,163? ",合法 營業,,,紀竹林,"一般旅館, ,",74 間,950 ~ 1600,,2004/7/25,,3張(2014/09/05)
8,達欣大飯店,PLAZA HOTEL ,達欣大飯店,04 - 22293191 ,04 - 22223398 ,臺中市中區建國路180號,"No.180, Jianguo Rd., Central District, Taichung City 400, Taiwan (R.O.C.)",台中市中?建?路180? ,合法 營業,http://www.plazahotel.com.tw,,賴營炫,"一般旅館, ,",81 間,1300 ~ 4800,位於台中火車站旁，僅需步行3分鐘(前站出口右方)，鄰近台中火車站、一中街、第二市場、台中公園、忠孝夜市、中華夜市、二十號倉庫等。,2004/1/15,,5張(2014/09/03)
34,王冠大飯店,CROWN HOTEL ,王冠大飯店????　???,04 - 22292175 ,? ,臺中市中區建國路184號,"No.184, Jianguo Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?建?路184? ,合法 營業,,,王莉涵,"一般旅館, ,",70 間,2000 ~ 4000,,2004/2/15,,
123,南北大飯店,NAN PEI HOTEL ,南北大飯店,04 - 22230386 ,? ,臺中市中區建國路186號,"No.186, Jianguo Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?建?路186? ,合法 營業,,,林施菊,"一般旅館, ,",19 間,450 ~ 450,,2004/4/26,,
77,永豐大旅社,無 ,永豐大旅社,04 - 22222018 ,? ,臺中市中區建國路187號,無,台中市中?建?路187? ,合法 營業,,,羅艷鳳,"一般旅館, ,",37 間,500 ~ 700,,2004/3/15,,
37,樂府大飯店,Lo Fo Hotel ,?府大飯店???　??,04 - 22297181 ,04 - 22241289 ,臺中市中區建國路89號5樓之1(5-11樓),"5F.-1, No.89, Jianguo Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?建?路89?5F之1 ,合法 營業,,,林高弘,"一般旅館, ,",66 間,700 ~ 1800,,2004/2/15,,
186,金樺大飯店(2星),CHIN HUA HOTEL ,金樺大飯店??　??　???,04 - 22272257 ,04 - 22271858 ,臺中市中區柳川西路3段19號,"No.19, Sec. 3, Liuchuan W. Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?柳川西路三段19? ,合法 營業,,,劉琍玲,"一般旅館, ,",52 間,1100 ~ 3600,,2006/5/1,,
199,帝寶大飯店(2星),De Bao Hotel ,帝寶大飯店,04 - 22273456 ,04 - 22270011 ,"臺中市中區柳川西路3段22號,3樓-1,4樓-1,5樓-1,6樓-1","No.22, Sec. 3, Liuchuan W. Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?柳川西路三段22?3~6F ,合法 營業,http://www.debaohotel.com.tw/,,王秀英,"商務旅館, ,",28 間,3600 ~ 7000,,2007/6/15,,3張(2014/09/05)
42,寶華商旅,Powa Hotel ,?華商旅,04 - 22231789 ,04 - 22237528 ,臺中市中區綠川西街135號2樓之1、123號8樓之1至12樓之1,"8-12F.-1, No.123, Luchuan W. St., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中??川西街123?8F?1 ,合法 營業,http://www.powahotel.com.tw,powahotel@gmail.com,陳國華,"商務旅館,,",60 間,2000 ~ 4600,,2009/10/9,2009/7/20,
157,復興旅社,Revival Hostel ,?????????,04 - 22250227 ,? ,臺中市中區綠川東街72號,"No.72, Luchuan E. St., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中??川東街72? ,合法 營業,,,黃常雄,"一般旅館, ,",20 間,200 ~ 300,,2004/7/25,,
6,印象大飯店,IMAGE HOTEL ,印象大飯店,04 - 22233332 ,04 - 22233336 ,臺中市中區興中街93號,"No.93, Xingzhong St., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?興中街93? ,合法 停業,,,莊麗紅,"一般旅館, ,",18 間,650 ~ 1080,,2004/1/15,,
84,玉山大旅社,玉山大旅社 ,玉山大旅社,04 - 22225068 ,04 - 22252108 ,臺中市中區興民街6-1號,玉山大旅社,台中市中?興民街6-1? ,合法 營業,,,賴俊雄,"一般旅館, ,",9 間,400 ~ 600,,2004/3/15,,
156,博奇大飯店,Palmer King Hotel ,博奇大飯店,04 - 22296151 ,04 - 22297101 ,臺中市中區雙十路1段5號,"No.5, Sec. 1, Shuangshi Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中??十路一段5? ,合法 營業,,,高英然,"一般旅館, ,",112 間,1600 ~ 1800,,2005/11/15,,5張(2014/09/05)
293,星悅大飯店,Happy Star Hotel ,星悅大飯店,04 - 22292388 ,04 - 22296388 ,臺中市中區繼光街123號,"No.123, Jiguang St., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?繼光街123? ,合法 營業,,www.happydstarhotel.com.tw,劉玲政,"一般旅館,,",39 間,2000 ~ 3000,繼光商圈，一中街商圈，台中公園，台中火車站,2012/3/29,,
317,薇米精品商旅,We Meet Boutique Hotel ,薇米精品????,04 - 22268811 ,04 - 22238811 ,"臺中市中區繼光街166號1樓,4樓之1,6樓之1","No.166, Jiguang St., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中??光街166?、166?4?之1、166?6?之1 ,合法 營業,,service@wemeethotel.com,沈勝煌,"一般旅館,商務旅館,,",58 間,1800 ~ 5800,,2013/12/9,2013/11/25,5張(2014/09/05)
127,第一旅社,FIRST HOTEL ,,04 - 22222205 ,? ,"臺中市中區繼光街51號1,3樓","No.51, Jiguang St., Central Dist., Taichung City 400, Taiwan (R.O.C.)",,合法 停業,,,陳浩清,"一般旅館, ,",10 間,300 ~ 400,,2006/9/11,,
191,龍城大旅社,龍城大旅社 ,龍城大旅社,04 - 22223569 ,? ,臺中市東區立德街13號,龍城大旅社,龍城大旅社 ,合法 營業,,,張添旺,"一般旅館, ,",14 間,500 ~ 750,,2006/10/31,,
136,國際旅社,國際旅社 ,國際旅社,04 - 22206712 ,? ,臺中市東區立德街31號,國際旅社,國際旅社 ,合法 營業,,,陳良嘉,"一般旅館, ,",18 間,300 ~ 450,,2004/4/26,,
2,東都大飯店,TONG TU HOTEL ,???????????,04 - 22222024 ,? ,臺中市東區立德街55號,"No.55, Lide St., East District, Taichung City",55?東?????????、台中、台? ,合法 營業,,,黃劉燕,"一般旅館, ,",55 間,510 ~ 1400,,2004/1/15,,
117,萬年旅社,WON NIAN HOTEL ,萬年旅社,04 - 22244169 ,? ,臺中市東區立德街58號,"No.58, Lide St., East District, Taichung City 401, Taiwan (R.O.C.)",萬年旅社 ,合法 營業,,,羅瑞生,"一般旅館, ,",27 間,550 ~ 840,,2004/3/25,,
21,怡達汽車旅館,EUSTA MOTEL ,怡達汽車旅館,04 - 22111355 ,04 - 22111329 ,臺中市東區旱溪東路1段429號,"No.429, Sec. 1, Hansi E. Rd., East District, Taichung City",台中市東?旱溪東路一段429? ,合法 營業,,,張家豪,"汽車旅館, ,",33 間,1580 ~ 2240,,2004/1/15,,5張(2014/09/05)
102,富苑汽車旅館,Rich One Motel ,富苑汽車旅館,04 - 22136699 ,04 - 22127998 ,臺中市東區旱溪街396號,"No.396, Hanxi St., East Dist., Taichung City 401, Taiwan (R.O.C.)",富苑汽車旅館 ,合法 營業,,,王神寶,"汽車旅館, ,",46 間,1560 ~ 2660,,2004/3/25,,3張(2014/09/05)
74,新羽旅?,SHIN YEU HOTEL ,新羽旅館,04 - 22250550 ,04 - 22210605 ,臺中市東區和平街142號,"No.142, Heping St., East District, Taichung City",台中市東?和平街142? ,合法 營業,,,邱金,"商務旅館, ,",40 間,780 ~ 1380,,2004/3/15,,
15,企業家大飯店,The Enterpriser Hotel ,企業家大飯店,04 - 22207733 ,04 - 22217540 ,"臺中市東區和平街160號1至4樓,158巷7號1至6樓","No.160, Hoping St., East District, Taichung City 401, Taiwan (R.O.C.)",台中市東?和平街160? ,合法 營業,http://www.gohotel.com.tw/aboutus.htm,service@gohotel.com.tw,郭秋榆,"商務旅館, ,",79 間,1300 ~ 2400,,2004/1/15,,5張(2014/09/04)
126,一福旅社,EI FU HOTEL ,一福旅社,04 - 22222819 ,? ,臺中市東區和平街95號,"No.95, Heping St., East District, Taichung City",台中市東?和平街95? ,合法 營業,,,陳政清,"一般旅館, ,",15 間,350 ~ 700,,2004/4/26,,
98,瑞君大飯店,Zaw-Jung Business Hotel ,瑞君大飯店???　???　???,04 - 22235838 ,04 - 22271269 ,臺中市東區復興路4段100號11-12樓,"11-12F., No.100, Sec. 4, Fuxing Rd., East Dist., Taichung City 401, Taiwan (R.O.C.)",台中市東?復興路四段100?11~12F ,合法 營業,,,蔡瑞華,"商務旅館, ,",27 間,800 ~ 1560,,2004/3/25,,5張(2014/09/05)
135,新驛旅店台中車站店,Cityinn Hotel - Taichung Station Branch ,驛旅店台中?店,04 - 22232333 ,04 - 22237333 ,臺中市東區復興路4段133號,"No.133, Sec. 4, Fuxing Rd., East Dist., Taichung City 401, Taiwan (R.O.C.)",台中市東?復興路4段133? ,合法 營業,,,戴彰紀,"一般旅館, ,",75 間,1600 ~ 3900,,2004/4/26,,
121,米卡沙旅店,Hotel Mi Casa ,米卡沙旅店,04 - 22295353 ,04 - 22228350 ,臺中市東區復興路4段149巷5弄8號,"No.8, Aly. 5, Ln. 149, Sec. 4, Fuxing Rd., East Dist., Taichung City 401, Taiwan (R.O.C.)",台中市東?復興路四段149巷5弄8? ,合法 營業,http://www.mi-casa.com.tw,hotel_mi_casa@yahoo.com.tw,王靜如,"一般旅館, ,",37 間,1350 ~ 7800,1.鄰近台中火車站後站 2.鄰近有20號倉庫、台中文化創意園區、新時代購物廣場、台中公園、一中街商圈、忠孝路夜市等景點,2004/4/26,,5張(2014/09/05)
16,雙星大飯店,Twinstar Hotel ,?星大飯店??????　???,04 - 22261811 ,04 - 22248346 ,臺中市東區復興路4段158號,"No.158, Sec. 4, Fusing Rd., East District, Taichung City 401, Taiwan (R.O.C.)",台中市東?復興路四段158? ,合法 營業,http://www.gohotel.com.tw,info@gohotel.com.tw,郭法田,"商務旅館, ,",104 間,2000 ~ 4000,,2004/1/15,,5張(2014/09/05)
12,雅典商務旅館,ATHENS HOTEL ,雅典商務旅館,04 - 23052370 ,04 - 23272378 ,臺中市西區大和路3號,"No.3, Dahe Rd., West District, Taichung City",台中市西?大和路3? ,合法 營業,,,陳勳宗,"商務旅館, ,",24 間,1080 ~ 1920,,2004/1/15,,3張(2014/09/03)
46,中港大飯店,Harbor Hotel ,中港大飯店????　???,04 - 22012181 ,04 - 22011414 ,臺中市西區中正路461號,"No.461, Zhongzheng Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?中正路461? ,合法 營業,,,邱錦珠,"一般旅館, ,",121 間,1440 ~ 5880,,2004/2/15,,
304,伊麗莎白酒店,Hotel Elizabeth ,?????? ???,04 - 23296000 ,04 - 23295000 ,臺中市西區中美街471號3-9樓,"3-9F., No.471, Zhongmei St., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?中美街471? ,合法 營業,http://www.elizabeth-hotel.com.tw,info@elizabeth-hotel.com.tw,鄭美蘭,"一般旅館,,",47 間,2200 ~ 7500,,2013/2/8,2012/11/1,5張(2014/09/05)
294,城市商旅-臺中五權館,City Suites Taichung Wuquan ,城市商旅-臺中五權館,04 - 23729000 ,04 - 23752288 ,臺中市西區五權路1-23號,"No.1-23, Wuquan Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?五權路1-23? ,合法 營業,http://www.citysuites.com.tw,reservation.tc@citysuites.com.tw,黃瑞容,"商務旅館,,",101 間,1800 ~ 7000,,2012/3/30,,1張(2014/09/05)
18,塔木德．五權館,Talmud Business Hotel-Wu Quan ,塔木德．五?館,04 - 22066611 ,04 - 22012196 ,臺中市西區五權路203號,"No.203, Wuquan Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)",台中市西?五?路203? ,合法 營業,http://www.talmud.com.tw/,order.talmud@kimo.com,林文賢,"一般旅館, ,",52 間,1560 ~ 4720,交通資訊:公車有NO.5.57.81.83.86.87.88.101.107.146.106.150.路線 鄰近草悟道、自然科學博物館、一中商圈、中華路夜市等處。,2004/1/15,,5張(2014/09/05)
